# Order Pixel Wavelength(vac)
0 441 3718.2284 
0 479 3719.2638 
0 524 3720.4925 
0 560 3721.4840 
0 590 3722.2735 
0 613 3722.8839 
0 715 3725.5749 
0 817 3728.2127 
0 835 3728.6720 
0 846 3728.9628 
0 902 3730.3687 
0 944 3731.4290 
0 1051 3734.0468 
0 1079 3734.7340 
0 1156 3736.5501 
0 1242 3738.5750 
0 1258 3738.9516 
0 1404 3742.2465 
0 1482 3743.9873 
0 1609 3746.7237 
0 1624 3747.0353 
0 1636 3747.2919 
0 1646 3747.5119 
0 1669 3747.9781 
0 1774 3750.1498 
0 1843 3751.5461 
0 1870 3752.0879 
0 1948 3753.6354 
0 1983 3754.3087 
0 1997 3754.5840 
0 2025 3755.1162 
1 119 3738.9516 
1 291 3743.9873 
1 415 3747.5119 
1 562 3751.5461 
1 582 3752.0879 
1 639 3753.6354 
1 665 3754.3087 
1 675 3754.5840 
1 695 3755.1162 
1 740 3756.2792 
1 782 3757.3615 
1 836 3758.7619 
1 866 3759.5350 
1 899 3760.5024 
1 1045 3764.0025 
1 1069 3764.5735 
1 1143 3766.3396 
1 1178 3767.1883 
1 1327 3770.6630 
1 1348 3771.1269 
1 1368 3771.5906 
1 1406 3772.4420 
1 1417 3772.6864 
1 1463 3773.7215 
1 1549 3775.5940 
1 1630 3777.3437 
1 1690 3778.6040 
1 1851 3781.9133 
1 1877 3782.3928 
2 18 3766.3396 
2 46 3767.1883 
2 193 3771.5906 
2 222 3772.4420 
2 392 3777.3437 
2 556 3781.9133 
2 575 3782.3928 
2 734 3786.6752 
2 764 3787.4583 
2 872 3790.2438 
2 936 3791.8711 
2 965 3792.5943 
2 999 3793.4509 
2 1014 3793.8067 
2 1058 3794.8931 
2 1094 3795.7757 
2 1122 3796.4633 
2 1173 3797.6711 
2 1198 3798.2643 
2 1291 3800.4598 
2 1327 3801.2767 
2 1381 3802.5223 
2 1425 3803.5002 
2 1444 3803.9440 
2 1458 3804.2517 
2 1494 3805.0638 
2 1527 3805.7786 
2 1555 3806.3943 
2 1646 3808.3532 
2 1674 3808.9552 
2 1708 3809.6556 
2 1749 3810.5371 
2 1825 3812.0769 
2 1894 3813.4793 
2 1928 3814.1497 
2 1965 3814.8974 
3 31 3797.6711 
3 123 3800.4598 
3 250 3804.2517 
3 439 3809.6556 
3 470 3810.5371 
3 526 3812.0769 
3 576 3813.4793 
3 601 3814.1497 
3 629 3814.8974 
3 694 3816.6487 
3 766 3818.5816 
3 812 3819.7691 
3 825 3820.0988 
3 894 3821.8768 
3 919 3822.5150 
3 948 3823.2302 
3 970 3823.7947 
3 984 3824.1523 
3 1000 3824.5426 
3 1043 3825.6169 
3 1067 3826.2184 
3 1089 3826.7578 
3 1118 3827.4543 
3 1136 3827.8925 
3 1202 3829.4707 
3 1273 3831.1471 
3 1292 3831.6077 
3 1303 3831.8603 
3 1341 3832.7268 
3 1474 3835.7670 
3 1521 3836.7991 
3 1532 3837.0473 
3 1560 3837.6733 
3 1620 3838.9638 
3 1637 3839.3280 
3 1691 3840.5117 
3 1705 3840.7842 
3 1740 3841.5192 
3 1758 3841.8898 
3 1792 3842.6083 
3 1814 3843.0498 
3 1860 3843.9866 
3 1951 3845.8211 
3 1969 3846.1828 
3 1985 3846.4956 
4 42 3829.4707 
4 121 3831.8603 
4 252 3835.7670 
4 317 3837.6733 
4 362 3838.9638 
4 426 3840.7842 
4 465 3841.8898 
4 490 3842.6083 
4 506 3843.0498 
4 540 3843.9866 
4 606 3845.8211 
4 620 3846.1828 
4 631 3846.4956 
4 676 3847.7175 
4 686 3847.9785 
4 713 3848.7109 
4 800 3851.0030 
4 825 3851.6728 
4 848 3852.2504 
4 885 3853.2275 
4 951 3854.9204 
4 979 3855.6037 
4 995 3856.1584 
4 1005 3856.2535 
4 1044 3857.2309 
4 1063 3857.7176 
4 1132 3859.4524 
4 1157 3860.0237 
4 1195 3860.9339 
4 1259 3862.4471 
4 1304 3863.5167 
4 1314 3863.7530 
